"period","seriesId","seriesDescription","unit","DC_value","MD_value","VA_value"
"2023","PACCD","All petroleum products average price in the commercial sector","Dollars per million Btu",26.19,25.61,22.97
"2023","PAEID","All petroleum products average price in the electric power sector","Dollars per million Btu",0,20.82,19.7
"2023","PAICD","All petroleum products average price in the industrial sector","Dollars per million Btu",19.24,24.41,23.03
"2023","PARCD","All petroleum products average price in the residential sector","Dollars per million Btu",29.54,30.79,31.68
"2023","PAACD","All petroleum products average price in the transportation sector","Dollars per million Btu",31.08,29.11,26.51
"2023","PATXD","All petroleum products average price, all end-use sectors","Dollars per million Btu",29.01,28.76,26.33
"2023","PATCD","All petroleum products average price, all sectors","Dollars per million Btu",29.01,28.74,26.32
"2023","PACCB","All petroleum products consumed by the commercial sector","Billion Btu",989,19006,27321
"2023","PACCP","All petroleum products consumed by the commercial sector","Thousand barrels",182,3756,5636
"2023","PAEIB","All petroleum products consumed by the electric power sector","Billion Btu",0,1108,1278
"2023","PAEIP","All petroleum products consumed by the electric power sector","Thousand barrels",0,184,222
"2023","PAICP","All petroleum products consumed by the industrial sector","Thousand barrels",422,4613,8909
"2023","PAICB","All petroleum products consumed by the industrial sector","Billion Btu",2698,26706,52030
"2023","PAISB","All petroleum products consumed by the industrial sector excluding process fuel and intermediate products","Billion Btu",2698,26706,52030
"2023","PARCB","All petroleum products consumed by the residential sector","Billion Btu",610,19527,23720
"2023","PARCP","All petroleum products consumed by the residential sector","Thousand barrels",109,3893,5110
"2023","PAACB","All petroleum products consumed by the transportation sector","Billion Btu",13964,387070,743002
"2023","PAACP","All petroleum products consumed by the transportation sector","Thousand barrels",2707,74220,140841
"2023","PAASB","All petroleum products consumed by the transportation sector excluding other biofuels product supplied for the United States","Billion Btu",13964,387070,743002
"2023","PATCP","All petroleum products total consumption","Thousand barrels",3420,86666,160717
"2023","PATCB","All petroleum products total consumption","Billion Btu",18262,453417,847351
"2023","PASCB","All petroleum products total consumption adjusted for process fuel and intermediate products","Billion Btu",18262,453417,847350
"2023","PATPB","All petroleum products total consumption per capita","Million Btu",26.6,72.9,97
"2023","PATPP","All petroleum products total consumption per capita","barrels",5,13.9,18.4
"2023","PATXB","All petroleum products total end-use consumption","Billion Btu",18262,452309,846073
"2023","PATXP","All petroleum products total end-use consumption","Thousand barrels",3420,86483,160495
"2023","PATXV","All petroleum products total end-use expenditures","Million dollars",529.8,13006.8,22277.4
"2023","PATCV","All petroleum products total expenditures","Million dollars",529.8,13029.8,22302.6
"2023","PACCV","All petroleum products total expenditures in the commercial sector","Million dollars",25.9,486.7,627.6
"2023","PAEIV","All petroleum products total expenditures in the electric power sector","Million dollars",0,23.1,25.2
"2023","PAICV","All petroleum products total expenditures in the industrial sector","Million dollars",51.9,651.9,1198.4
"2023","PARCV","All petroleum products total expenditures in the residential sector","Million dollars",18,601.2,751.4
"2023","PAACV","All petroleum products total expenditures in the transportation sector","Million dollars",434,11266.9,19700
"2023","PMCCB","All petroleum products, excluding biofuels, consumed by the commercial sector","Billion Btu",960,18321,26441
"2023","PMEIB","All petroleum products, excluding biofuels, consumed by the electric power sector","Billion Btu",0,1108,1277
"2023","PMICB","All petroleum products, excluding biofuels, consumed by the industrial sector","Billion Btu",2684,26486,51741
"2023","PMRCB","All petroleum products, excluding biofuels, consumed by the residential sector","Billion Btu",610,19527,23720
"2023","PMACB","All petroleum products, excluding biofuels, consumed by the transportation sector","Billion Btu",13038,364343,704368
"2023","PMTCB","All petroleum products, excluding biofuels, total consumption","Billion Btu",17292,429784,807547
"2023","ARTXD","Asphalt and road oil average price, all end-use sectors","Dollars per million Btu",16.77,16.9,16.63
"2023","ARTCD","Asphalt and road oil average price, all sectors","Dollars per million Btu",16.77,16.9,16.63
"2023","ARICB","Asphalt and road oil consumed by the industrial sector","Billion Btu",2320,11972,22903
"2023","ARICP","Asphalt and road oil consumed by the industrial sector","Thousand barrels",350,1804,3451
"2023","ARICV","Asphalt and road oil expenditures in the industrial sector","Million dollars",38.9,202.3,381
"2023","ARICD","Asphalt and road oil price in the industrial sector","Dollars per million Btu",16.77,16.9,16.63
"2023","ARTCP","Asphalt and road oil total consumption","Thousand barrels",350,1804,3451
"2023","ARTCB","Asphalt and road oil total consumption","Billion Btu",2320,11972,22903
"2023","ARTXB","Asphalt and road oil total end-use consumption","Billion Btu",2320,11972,22903
"2023","ARTXP","Asphalt and road oil total end-use consumption","Thousand barrels",350,1804,3451
"2023","ARTXV","Asphalt and road oil total end-use expenditures","Million dollars",38.9,202.3,381
"2023","ARTCV","Asphalt and road oil total expenditures","Million dollars",38.9,202.3,381
"2023","P1TXD","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price, all end-use sectors","Dollars per million Btu",19.94,30.87,29.84
"2023","P1TCD","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price, all sectors","Dollars per million Btu",19.94,30.87,29.84
"2023","P1TCP","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption","Thousand barrels",372,3122,5728
"2023","P1TCB","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption","Billion Btu",2452,19286,35651
"2023","P1TXB","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use consumption","Billion Btu",2452,19286,35650
"2023","P1TXP","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use consumption","Thousand barrels",372,3122,5728
"2023","P1TXV","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use expenditures","Million dollars",48,556.8,976.5
"2023","P1TCV","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total expenditures","Million dollars",48,556.8,976.5
"2023","P1ICD","Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price in the  industrial sector","Dollars per million Btu",18.12,24.72,23.21
"2023","P1ICP","Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector","Thousand barrels",356,2568,4553
"2023","P1ICB","Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector","Billion Btu",2356,16160,29045
"2023","P1ISB","Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector excluding refinery fuel and intermediate products","Billion Btu",2356,16160,29045
"2023","P1ICV","Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" expenditures in the  industrial sector","Million dollars",42.7,399.4,674.2
"2023","P1SCB","Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption adjusted for process fuel and intermediate products","Billion Btu",2407,18039,32723
"2023","HLICK","Average factor for converting hydrocarbon gas liquids consumed by the industrial sector from physical unit to Btu","Million Btu per barrel",3.841,3.841,3.841
"2023","HLTCK","Average factor for converting hydrocarbon gas liquids total consumption from physical unit to Btu","Million Btu per barrel",3.841,3.841,3.841
"2023","AVTXD","Aviation gasoline average price, all end-use sectors","Dollars per million Btu",0,32.62,32.62
"2023","AVTCD","Aviation gasoline average price, all sectors","Dollars per million Btu",0,32.62,32.62
"2023","ABICP","Aviation gasoline blending components consumed by the industrial sector","Thousand barrels",0,0,0
"2023","ABICB","Aviation gasoline blending components consumed by the industrial sector","Billion Btu",0,0,0
"2023","AVACP","Aviation gasoline consumed by the transportation sector","Thousand barrels",0,44,77
"2023","AVACB","Aviation gasoline consumed by the transportation sector","Billion Btu",0,224,389
"2023","AVACV","Aviation gasoline expenditures in the transportation sector","Million dollars",0,7.3,12.7
"2023","AVACD","Aviation gasoline price in the transportation sector","Dollars per million Btu",0,32.62,32.62
"2023","AVTCB","Aviation gasoline total consumption","Billion Btu",0,224,389
"2023","AVTCP","Aviation gasoline total consumption","Thousand barrels",0,44,77
"2023","AVTXB","Aviation gasoline total end-use consumption","Billion Btu",0,224,389
"2023","AVTXP","Aviation gasoline total end-use consumption","Thousand barrels",0,44,77
"2023","AVTXV","Aviation gasoline total end-use expenditures","Million dollars",0,7.3,12.7
"2023","AVTCV","Aviation gasoline total expenditures","Million dollars",0,7.3,12.7
"2023","BTVHN","Battery electric vehicle (BEV) light-duty stocks","Thousands of registered vehicles",7.8,69,81.3
"2023","BTCAS","Battery storage generating units usage factor","Percent",0,12.7,2
"2023","BTGBP","Battery storage units net summer capacity in all sectors","Thousand kilowatts",0,8,71
"2023","BDCCB","Biodiesel consumed by the commercial sector","Billion Btu",0,0,0
"2023","BDCCP","Biodiesel consumed by the commercial sector","Thousand barrels",0,0,0
"2023","BDEIP","Biodiesel consumed by the electric power sector","Thousand barrels",0,0,0
"2023","BDEIB","Biodiesel consumed by the electric power sector","Billion Btu",0,0,1
"2023","BDRCP","Biodiesel consumed by the residential sector","Thousand barrels",0,0,0
"2023","BDRCB","Biodiesel consumed by the residential sector","Billion Btu",0,0,0
"2023","BDACP","Biodiesel consumed by the transportation sector","Thousand barrels",13,370,868
"2023","BDACB","Biodiesel consumed by the transportation sector","Billion Btu",72,1981,4652
"2023","BDPRP","Biodiesel liquids production","Thousand barrels",0,0,22
"2023","BDSUB","Biodiesel product supplied","Billion Btu",45,1247,2928
"2023","BDSUP","Biodiesel product supplied","Thousand barrels",8,233,546
"2023","BDCUP","Biodiesel product supplied portion to the commercial sector","Thousand barrels",0,0,0
"2023","BDCUB","Biodiesel product supplied portion to the commercial sector","Billion Btu",0,0,0
"2023","BDEUB","Biodiesel product supplied portion to the electric power sector","Billion Btu",0,0,1
"2023","BDEUP","Biodiesel product supplied portion to the electric power sector","Thousand barrels",0,0,0
"2023","BDXUP","Biodiesel product supplied portion to the end-use sectors","Thousand barrels",8,233,546
"2023","BDXUB","Biodiesel product supplied portion to the end-use sectors","Billion Btu",45,1247,2927
"2023","BDRUB","Biodiesel product supplied portion to the residential sector","Billion Btu",0,0,0
"2023","BDRUP","Biodiesel product supplied portion to the residential sector","Thousand barrels",0,0,0
"2023","BDAUB","Biodiesel product supplied portion to the transportation sector","Billion Btu",45,1247,2927
"2023","BDAUP","Biodiesel product supplied portion to the transportation sector","Thousand barrels",8,233,546
"2023","BDFDB","Biodiesel production (total biomass inputs as feedstock), including liquids and losses & co-products","Billion Btu",0,0,120
"2023","BDCBP","Biodiesel refinery and blender net inputs portion to the commercial sector","Thousand barrels",0,0,0
"2023","BDCBB","Biodiesel refinery and blender net inputs portion to the commercial sector","Billion Btu",0,0,0
"2023","BDRBP","Biodiesel refinery and blender net inputs portion to the residential sector","Thousand barrels",0,0,0
"2023","BDRBB","Biodiesel refinery and blender net inputs portion to the residential sector","Billion Btu",0,0,0
"2023","BDABP","Biodiesel refinery and blender net inputs portion to the transportation sector","Thousand barrels",5,137,322
"2023","BDABB","Biodiesel refinery and blender net inputs portion to the transportation sector","Billion Btu",27,735,1725
"2023","BDTCP","Biodiesel total consumption","Thousand barrels",13,370,868
"2023","BDTCB","Biodiesel total consumption","Billion Btu",72,1981,4653
"2023","BDTXP","Biodiesel total end-use consumption","Thousand barrels",13,370,868
"2023","BDTXB","Biodiesel total end-use consumption","Billion Btu",72,1981,4652
"2023","BDRIB","Biodiesel total refinery and blender net inputs","Billion Btu",27,735,1725
"2023","BDRIP","Biodiesel total refinery and blender net inputs","Thousand barrels",5,137,322
"2023","BFPRP","Biofuels liquid production","Thousand barrels",0,0,22
"2023","BFPRB","Biofuels production (total biomass inputs as feedstock), including liquids and losses & co-products","Billion Btu",0,0,120
"2023","BFTCB","Biofuels total consumption","Billion Btu",970,23633,39805
"2023","BMCAS","Biomass generating units capacity factor","Percent",55.4,52.4,60
"2023","BMTCB","Biomass total consumption","Billion Btu",1984,37140,155917
"2023","BYICP","Butylene from refineries consumed by the industrial sector","Thousand barrels",0,0,0
"2023","BYICB","Butylene from refineries consumed by the industrial sector","Billion Btu",0,0,0
"2023","BYTCB","Butylene from refineries total consumption","Billion Btu",0,0,0
"2023","BYTCP","Butylene from refineries total consumption","Thousand barrels",0,0,0
"2023","CDTCR","Carbon intensity of energy supply (CO2 emissions divided by total energy consumption less interstate flow of electricity)","Metric tons CO2 per billion Btu",53,49.9,47.2
"2023","CDEGR","Carbon intensity of the economy (CO2 emissions divided by real GDP)","Metric tons CO2 per million chained (2017) dollars",16.8,115,158.3
"2023","CLTCE","Coal CO2 emissions for all sectors","Million metric tons CO2  ",0,2.9,4.4
"2023","CLCCE","Coal CO2 emissions for the commercial sector","Million metric tons CO2",0,0,0
"2023","CLEIE","Coal CO2 emissions for the electric power sector","Million metric tons CO2",0,2.1,1.4
"2023","CLICE","Coal CO2 emissions for the industrial sector","Million metric tons CO2",0,0.8,2.9
"2023","CLRCE","Coal CO2 emissions for the residential sector (through 2008)","Million metric tons CO2",0,0,0
"2023","CLACE","Coal CO2 emissions for the transportation sector (through 1977)","Million metric tons CO2",0,0,0
"2023","CLTXD","Coal average price, all end-use sectors","Dollars per million Btu",0,3.35,6.43
"2023","CLTCD","Coal average price, all sectors","Dollars per million Btu",0,3.49,6.03
"2023","CLRFB","Coal consumed as refinery fuel","Billion Btu",0,0,0
"2023","CLKCB","Coal consumed at coke plants (coking coal)","Billion Btu",0,0,24241
"2023","CLKCP","Coal consumed by coke plants (coking coal)","Thousand short tons",0,0,832
"2023","CLOCP","Coal consumed by industrial users other than coke plants","Thousand short tons",0,372,277
"2023","CLOCB","Coal consumed by industrial users other than coke plants","Billion Btu",0,8571,7223
"2023","CLCCP","Coal consumed by the commercial sector","Thousand short tons",0,0,9
"2023","CLCCB","Coal consumed by the commercial sector","Billion Btu",0,0,241
"2023","CLEIP","Coal consumed by the electric power sector","Thousand short tons",0,902,775
"2023","CLEIB","Coal consumed by the electric power sector","Billion Btu",0,21779,15080
"2023","CLICP","Coal consumed by the industrial sector","Thousand short tons",0,372,1110
"2023","CLICB","Coal consumed by the industrial sector","Billion Btu",0,8571,31464
"2023","CLISB","Coal consumed by the industrial sector excluding refinery fuel","Billion Btu",0,8571,31464
"2023","CLOSB","Coal consumed by the industrial sector other than coke plants excluding refinery fuel","Billion Btu",0,8571,7223
"2023","CLRCB","Coal consumed by the residential sector","Billion Btu",0,0,0
"2023","CLRCP","Coal consumed by the residential sector","Thousand short tons",0,0,0
"2023","CLACB","Coal consumed by the transportation sector","Billion Btu",0,0,0
"2023","CLACP","Coal consumed by the transportation sector","Thousand short tons",0,0,0
"2023","CLKCV","Coal expenditures at coke plants","Million dollars",0,0,156.6
"2023","CLCCV","Coal expenditures in the commercial sector","Million dollars",0,0,1.7
"2023","CLEIV","Coal expenditures in the electric power sector","Million dollars",0,77.3,78.4
"2023","CLICV","Coal expenditures in the industrial sector","Million dollars",0,28.7,202
"2023","CLOCV","Coal expenditures in the industrial sector other than coke plants","Million dollars",0,28.7,45.4
"2023","CLRCV","Coal expenditures in the residential sector","Million dollars",0,0,0
"2023","CLACV","Coal expenditures in the transportation sector","Million dollars",0,0,0
"2023","CLCAS","Coal generating units capacity factor","Percent",0,13.3,9.9
"2023","CLGBP","Coal generating units net summer capacity in all sectors","Thousand kilowatts",0,1453,1530
"2023","CLKCD","Coal price at coke plants","Dollars per million Btu",0,0,6.46
"2023","CLCCD","Coal price in the commercial sector","Dollars per million Btu",0,0,7.24
"2023","CLEID","Coal price in the electric power sector","Dollars per million Btu",0,3.55,5.2
"2023","CLICD","Coal price in the industrial sector","Dollars per million Btu",0,3.35,6.42
"2023","CLOCD","Coal price in the industrial sector other than coke plants","Dollars per million Btu",0,3.35,6.28
"2023","CLRCD","Coal price in the residential sector","Dollars per million Btu",0,0,0
"2023","CLACD","Coal price in the transportation sector","Dollars per million Btu",0,0,0
"2023","CLPRB","Coal production","Billion Btu",0,30335,282790
"2023","CLPRP","Coal production","Thousand short tons",0,1274,10624
"2023","CLTCP","Coal total consumption","Thousand short tons",0,1274,1894
"2023","CLTCB","Coal total consumption","Billion Btu",0,30349,46785
"2023","CLSCB","Coal total consumption adjusted for process fuel","Billion Btu",0,30349,46785
"2023","CLTXP","Coal total end-use consumption","Thousand barrels",0,372,1119
"2023","CLTXB","Coal total end-use consumption","Billion Btu",0,8571,31705
"2023","CLTXV","Coal total end-use expenditures","Million dollars",0,28.7,203.7
"2023","CLTCV","Coal total expenditures","Million dollars",0,106,282.1
"2023","HVCAS","Conventional hydroelectric generating units capacity factor","Percent",0,41,18.3
"2023","HVGBP","Conventional hydroelectric power generating units net summer capacity in all sectors","Thousand kilowatts",0,515,867
"2023","ZWCDP","Cooling degree days (CDD)","Days",1489,1105,1074
"2023","COICP","Crude oil consumed by the industrial sector","Thousand barrels",0,0,0
"2023","COICB","Crude oil consumed by the industrial sector","Billion Btu",0,0,0
"2023","PAPRB","Crude oil production (including lease condensate)","Billion Btu",0,0,23
"2023","PAPRP","Crude oil production (including lease condensate)","Thousand barrels",0,0,4
"2023","GDPRV","Current-dollar gross domestic product (GDP)","Million dollars",176501.7,515607.3,719896.9
"2023","EVDCN","DC fast charging ports for electric vehicles","Number",57,990,1167
"2023","EVDCR","DC fast charging ports per location","Number",5.18,3.22,4.05
"2023","WDEXB","Densified biomass exports (available for 2016 forward)","Billion Btu",0,0,9676
"2023","DKEID","Distillate fuel oil (including kerosene-type jet fuel before 2001) average price in the electric power sector","Dollars per million Btu",0,22.44,19.71
"2023","DKEIB","Distillate fuel oil (including kerosene-type jet fuel before 2001) consumed by the electric power sector","Billion Btu",0,513,1277
"2023","DKEIP","Distillate fuel oil (including kerosene-type jet fuel before 2001) consumed by the electric power sector","Thousand barrels",0,89,222
"2023","DKEIV","Distillate fuel oil (including kerosene-type jet fuel before 2001) expenditures in the electric power sector","Million dollars",0,11.5,25.2
"2023","DFTXD","Distillate fuel oil average price, all end-use sectors","Dollars per million Btu",29.73,30.01,28.8
"2023","DFTCD","Distillate fuel oil average price, all sectors","Dollars per million Btu",29.73,29.96,28.74
"2023","DFRFB","Distillate fuel oil consumed as refinery fuel","Billion Btu",0,0,0
"2023","DFCCB","Distillate fuel oil consumed by the commercial sector","Billion Btu",590,6908,8103
"2023","DFCCP","Distillate fuel oil consumed by the commercial sector","Thousand barrels",102,1197,1404
"2023","DFCSB","Distillate fuel oil consumed by the commercial sector including biofuels product supplied","Billion Btu",590,6908,8103
"2023","DFEIP","Distillate fuel oil consumed by the electric power sector","Thousand barrels",0,89,222
"2023","DFEIB","Distillate fuel oil consumed by the electric power sector","Billion Btu",0,513,1277
"2023","DFICP","Distillate fuel oil consumed by the industrial sector","Thousand barrels",20,1016,2608
"2023","DFICB","Distillate fuel oil consumed by the industrial sector","Billion Btu",117,5856,15034
"2023","DFISB","Distillate fuel oil consumed by the industrial sector excluding refinery fuel","Billion Btu",117,5856,15034
"2023","DFRCP","Distillate fuel oil consumed by the residential sector","Thousand barrels",100,2326,2010
"2023","DFRCB","Distillate fuel oil consumed by the residential sector","Billion Btu",576,13420,11597
"2023","DFRSB","Distillate fuel oil consumed by the residential sector including biofuels product supplied","Billion Btu",576,13420,11597
"2023","DFACP","Distillate fuel oil consumed by the transportation sector","Thousand barrels",397,10942,25693
"2023","DFACB","Distillate fuel oil consumed by the transportation sector","Billion Btu",2287,63081,148114
"2023","DFASB","Distillate fuel oil consumed by the transportation sector including biofuels product supplied","Billion Btu",2332,64328,151041
"2023","DFCCV","Distillate fuel oil expenditures in the commercial sector","Million dollars",13.7,162.4,179.1
"2023","DFEIV","Distillate fuel oil expenditures in the electric power sector","Million dollars",0,11.5,25.2
"2023","DFICV","Distillate fuel oil expenditures in the industrial sector","Million dollars",2.7,135.8,356
"2023","DFRCV","Distillate fuel oil expenditures in the residential sector","Million dollars",16.8,385.4,330.1
"2023","DFACV","Distillate fuel oil expenditures in the transportation sector","Million dollars",74.2,2032.4,4485.5
"2023","DFCCD","Distillate fuel oil price in the commercial sector","Dollars per million Btu",23.29,23.51,22.11
"2023","DFEID","Distillate fuel oil price in the electric power sector","Dollars per million Btu",0,22.44,19.71
"2023","DFICD","Distillate fuel oil price in the industrial sector","Dollars per million Btu",23.27,23.18,23.68
"2023","DFRCD","Distillate fuel oil price in the residential sector","Dollars per million Btu",29.21,28.72,28.47
"2023","DFACD","Distillate fuel oil price in the transportation sector","Dollars per million Btu",31.81,31.59,29.7
"2023","DFTCP","Distillate fuel oil total consumption","Thousand barrels",619,15570,31937
"2023","DFTCB","Distillate fuel oil total consumption","Billion Btu",3570,89778,184125
"2023","DFSCB","Distillate fuel oil total consumption adjusted for process fuel","Billion Btu",3615,91025,187052
"2023","DFTXP","Distillate fuel oil total end-use consumption","Thousand barrels",619,15481,31715
"2023","DFTXB","Distillate fuel oil total end-use consumption","Billion Btu",3570,89265,182848
"2023","DFTXV","Distillate fuel oil total end-use expenditures","Million dollars",107.5,2716,5350.9
"2023","DFTCV","Distillate fuel oil total expenditures","Million dollars",107.5,2727.5,5376
"2023","DACCP","Distillate fuel oil, biodiesel, and renewable diesel consumed by the commercial sector","Thousand barrels",102,1197,1404
"2023","DACCB","Distillate fuel oil, biodiesel, and renewable diesel consumed by the commercial sector","Billion Btu",590,6908,8103
"2023","DAEIP","Distillate fuel oil, biodiesel, and renewable diesel consumed by the electric power sector","Thousand barrels",0,89,222
"2023","DAEIB","Distillate fuel oil, biodiesel, and renewable diesel consumed by the electric power sector","Billion Btu",0,513,1278
"2023","DAICP","Distillate fuel oil, biodiesel, and renewable diesel consumed by the industrial sector","Thousand barrels",20,1016,2608
"2023","DAICB","Distillate fuel oil, biodiesel, and renewable diesel consumed by the industrial sector","Billion Btu",117,5856,15034
"2023","DARCB","Distillate fuel oil, biodiesel, and renewable diesel consumed by the residential sector","Billion Btu",576,13420,11597
"2023","DARCP","Distillate fuel oil, biodiesel, and renewable diesel consumed by the residential sector","Thousand barrels",100,2326,2010
"2023","DAACP","Distillate fuel oil, biodiesel, and renewable diesel consumed by the transportation sector","Thousand barrels",405,11175,26239
"2023","DAACB","Distillate fuel oil, biodiesel, and renewable diesel consumed by the transportation sector","Billion Btu",2332,64328,151041
"2023","DMACP","Distillate fuel oil, excluding biodiesel and renewable diesel, consumed by the transportation sector","Thousand barrels",392,10805,25371
"2023","DMACB","Distillate fuel oil, excluding biodiesel and renewable diesel, consumed by the transportation sector","Billion Btu",2260,62347,146390
"2023","DMTCB","Distillate fuel oil, excluding biodiesel and renewable diesel, total consumption","Billion Btu",3543,89044,182400
"2023","DMTCP","Distillate fuel oil, excluding biodiesel and renewable diesel, total consumption","Thousand barrels",614,15433,31615
"2023","DMCCB","Distillate fuel oil, excluding biofuels, consumed by the commercial sector","Billion Btu",590,6908,8103
"2023","DMCCP","Distillate fuel oil, excluding biofuels, consumed by the commercial sector","Thousand barrels",102,1197,1404
"2023","DMEIB","Distillate fuel oil, excluding biofuels, consumed by the electric power sector","Billion Btu",0,513,1277
"2023","DMEIP","Distillate fuel oil, excluding biofuels, consumed by the electric power sector","Thousand barrels",0,89,222
"2023","DMICB","Distillate fuel oil, excluding biofuels, consumed by the industrial sector","Billion Btu",117,5856,15034
"2023","DMICP","Distillate fuel oil, excluding biofuels, consumed by the industrial sector","Thousand barrels",20,1016,2608
"2023","DMRCP","Distillate fuel oil, excluding biofuels, consumed by the residential sector","Thousand barrels",100,2326,2010
"2023","DMRCB","Distillate fuel oil, excluding biofuels, consumed by the residential sector","Billion Btu",576,13420,11597
"2023","ELVHS","Electric vehicle (EV) share of total light-duty vehicles","Percent",3.9,2.1,1.5
"2023","EVNNP","Electric vehicle charging locations with both networked and non-networked ports","Number",4,8,9
"2023","EVPPP","Electric vehicle charging locations with both public and private ports","Number",3,26,40
"2023","EVNTP","Electric vehicle charging locations with networked ports only","Number",358,1558,1353
"2023","EVNOP","Electric vehicle charging locations with non-networked ports only","Number",38,270,288
"2023","EVPVP","Electric vehicle charging locations with private ports only","Number",41,106,101
"2023","EVPUP","Electric vehicle charging locations with public ports only","Number",356,1704,1509
"2023","ESTXD","Electricity average price, all end-use sectors","Dollars per million Btu",48.36,42.03,31.29
"2023","ESTCD","Electricity average price, all sectors","Dollars per million Btu",48.36,42.03,31.29
"2023","ESCCB","Electricity consumed by (sales to ultimate customers in) the commercial sector","Billion Btu",23987,92335,251830
"2023","ESCCP","Electricity consumed by (sales to ultimate customers in) the commercial sector","Million kilowatthours",7030,27062,73807
"2023","ESICB","Electricity consumed by (sales to ultimate customers in) the industrial sector","Billion Btu",602,11790,51781
"2023","ESICP","Electricity consumed by (sales to ultimate customers in) the industrial sector","Million kilowatthours",176,3456,15176
"2023","ESRCB","Electricity consumed by (sales to ultimate customers in) the residential sector","Billion Btu",8092,89080,147043
"2023","ESRCP","Electricity consumed by (sales to ultimate customers in) the residential sector","Million kilowatthours",2372,26108,43096
"2023","ESRPP","Electricity consumed by (sales to ultimate customers in) the residential sector per capita","Kilowatthours",3451,4199,4934
"2023","ESACB","Electricity consumed by (sales to ultimate customers in) the transportation sector","Billion Btu",1028,1392,818
"2023","ESACP","Electricity consumed by (sales to ultimate customers in) the transportation sector","Million kilowatthours",301,408,240
"2023","ESRFB","Electricity consumed by refineries","Billion Btu",0,0,0
"2023","BTVHP","Electricity consumed for battery electric vehicle (BEV) use","Million kilowatthours",13,105,123
"2023","ESVHP","Electricity consumed for electric vehicle (EV) use","Million kilowatthours",19,153,167
"2023","PHVHP","Electricity consumed for plug-in hybrid electric vehicle (PHEV) use","Million kilowatthours",6,48,45
"2023","ESCCV","Electricity expenditures in the commercial sector","Million dollars",1191,3456.5,6604.4
"2023","ESICV","Electricity expenditures in the industrial sector","Million dollars",19.2,343.6,1353
"2023","ESRCV","Electricity expenditures in the residential sector","Million dollars",390,4333.2,6145.5
"2023","ESACV","Electricity expenditures in the transportation sector","Million dollars",29.9,45.8,25
"2023","ELEXP","Electricity exported from the United States","Million kilowatthours",0,0,0
"2023","ELEXB","Electricity exported from the United States","Billion Btu",0,0,0
"2023","ELEXD","Electricity exports average price","Dollars per million Btu",0,0,0
"2023","ELEXV","Electricity exports expenditures","Million dollars",0,0,0
"2023","ELIMP","Electricity imported into the United States","Million kilowatthours",0,0,0
"2023","ELIMB","Electricity imported into the United States","Billion Btu",0,0,0
"2023","ELIMD","Electricity imports average price","Dollars per million Btu",0,0,0
"2023","ELIMV","Electricity imports expenditures","Million dollars",0,0,0
"2023","ESCCD","Electricity price in the commercial sector","Dollars per million Btu",49.65,37.43,26.23
"2023","ESICD","Electricity price in the industrial sector","Dollars per million Btu",31.81,29.15,26.13
"2023","ESRCD","Electricity price in the residential sector","Dollars per million Btu",48.2,48.64,41.79
"2023","ESACD","Electricity price in the transportation sector","Dollars per million Btu",29.12,32.9,30.53
"2023","ESISB","Electricity sales to the industrial sector excluding refinery use","Billion Btu",602,11790,51781
"2023","ESTCP","Electricity total consumption (electricity sales to ultimate customers)","Million kilowatthours",9880,57033,132319
"2023","ESTCB","Electricity total consumption (electricity sales to ultimate customers)","Billion Btu",33710,194597,451471
"2023","ESTPP","Electricity total consumption (electricity sales to ultimate customers) per capita","Kilowatthours",14374,9174,15149
"2023","ESSCB","Electricity total consumption adjusted for process fuel","Billion Btu",33710,194597,451471
"2023","ESTXP","Electricity total end-use consumption (electricity sales to ultimate customers)","Million kilowatthours",9880,57033,132319
"2023","ESTXB","Electricity total end-use consumption (electricity sales to ultimate customers)","Billion Btu",33710,194597,451471
"2023","ESTXV","Electricity total end-use expenditures","Million dollars",1630.1,8179.1,14127.9
"2023","ESTCV","Electricity total expenditures","Million dollars",1630.1,8179.1,14127.9
"2023","TNCCB","End-use energy consumption in the commercial sector","Billion Btu",41206,184233,364423
"2023","TNICB","End-use energy consumption in the industrial sector","Billion Btu",3300,63623,311413
